Protocol Activity,Pre- Screen,Screen, , ,Treatment, ,Follow-up, 
 ,Visit 0,Visit 1 Screen/ Run-in,Visit 2 Randomisation,Visit 3,Visit 4,Visit 5,Study Treatment Discontinuation Visit,Visit 6 Safety Follow- up Contact
Study Day,-56 to -28,Day -28,Day 1,Day 28,Day 84,Day 85, ,Day 91
Week,-8 to - -4,-4,0,4,12,12, ,13
Window, ,-3/+8d (Day -31 to -21), ,-4/+2d (Day 24 to 30),-4/+2d (Day 80 to 86),NOT_SELECTED, ,-1/+4d (Day 90 to 95)
"Written Informed Consenta,",SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Genetic Informed Consentb,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Demographyc,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
"Medical History, including cardiovascular history",NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
COPD and Exacerbation History,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Concomitant Medication Assessment,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X
Inclusion/Exclusion Criteria,NOT_SELECTED,SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Smoking History,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED
Smoking status,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X, 
Smoking Cessation Counselling,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
