 , , , ,Blinded,Treatment, , , 
Visit,Pre- screen¹ 0,Screen/ Run-in 1,Rando- mization 2,3,4,5,EW Visit 2,Telephone Follow up contact 6
Week,-10 to -4,-4,0,4,12,24, , 
Day,-70 to -28,-28,1,28,84,168, ,7 days after V5 or EW Visit
Window,-7/+2 days,-7/+2 days,-7/+2 days,-7/+2 days,-7/+2 days,-7/+2 days, ,+3 days
Screen/Baseline,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED, , , 
Informed consent,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
Demography,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
Medical/COPD history,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED
Smoking history/status,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED
Smoking cessation counselling,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,SELECTED,NOT_SELECTED
Concomitant medication assessment,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Height and weight,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Cardiovascular History/family history of premature CV disease]),NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Screening spirometry (including post bronchodilator testing)³,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED
CAT questionnaire,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED
Verify Inclusion/Exclusion Criteria,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED
Training on use of inhalers,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED
Training on use of eDiary and eMDI,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED
Verify randomization Criteria,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED, ,SELECTED,NOT_SELECTED
Register Visit in InForm,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,X,SELECTED X,SELECTED X
Register Visit in RAMOS NG,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Efficacy/HRQoL assessments,NOT_SELECTED, , , , , , , 
