 ,Screening, , , , , , , ,Treatment, , , , ,Early Termination / Study Completion,Safety Follow-up Visit [a]
Visits,Wk -4 to Wk 0,Wk 1,Wk 2,Wk 3,Wk 5,3 m,6 m,9 m,12 m,15 m [b],18 m,21 m [b],Unscheduled visit,2 years, 
"Time Window, days", ,NOT_SELECTED,2,2,2,7,7,7,14,14,30,30,NOT_SELECTED,30, 
Informed consent [c],SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Inclusion / exclusion criteria,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Medical history and demographics [d],SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Physical examination [e],SELECTED X,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
Vital signs,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
Concomitant medications [g],NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X
"Safety laboratory assessments Hematology and blood chemistry [h,r]",SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
"Pregnancy test [i,r]",SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
HIV and hepatitis serology [j],SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
"Anti-FVIII antibodies [k,r]",SELECTED *,SELECTED x,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
"Anti-emicizumab antibodies [l,r]",NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
ePRO bleed / medication recording [m],*,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED x,SELECTED x,NOT_SELECTED
Surgical events [n],SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED x,SELECTED,SELECTED X,SELECTED x,SELECTED X,SELECTED x
Adverse events [o],SELECTED x,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X
IMP -Management of emicizumab [p],NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
HRQoL [q],NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
Health status (EQ-5D-5L) [q],NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED x,NOT_SELECTED
Treatment preference questionnaire (EmiPref) [r],NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
"PK assessment [s,t]",NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
"Safety biomarkers assessment [s,u]",NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
"Safety coagulation system biomarkers assessment [s,v]", ,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
"PD biomarkers assessment [s,w]",NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED *
"Bone and joint biomarker assessment (fasting) [s,x]",NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED *
Additional laboratory assessments [y],NOT_SELECTED,NOT_SELECTED, , , ,For, ,breakthrough,bleeds,treated with,bypassing,agents, ,NOT_SELECTED,NOT_SELECTED
Emicizumab administration,NOT_SELECTED,NOT_SELECTED, , , , ,Weekly, ,subcutaneous,injection, , , ,NOT_SELECTED,NOT_SELECTED
