,PageNo,Text
0,page_1,"['SUMMARY OF CHANGES', 'Longitudinal Quality of Life Study among Participants with AIDS-Associated Kaposi', 'Sarcoma at Bugando Medical Centre, in Mwanza, Tanzania', 'Version 2.0', 'NCI Protocol #: AMC-S007', 'Local Protocol #: AMC-S007', 'NCI Version Date: 20MAR2018', 'Protocol Date: 20MAR2018', '#', 'Section', 'Comments', '1.', 'Global', 'Changed from:', 'Version 1.0, 21NOV2017', 'NCI Version 21NOV2017', 'Changed to:', 'Version 2.0, 20MAR2018', 'NCI Version 20MAR2018', '2.', 'Global', 'Changed from:', 'Common Terminology Criteria for Adverse Events version 4.0 (CTCAE v4.0)', 'Changed to:', 'Common Terminology Criteria for Adverse Events version 5.0 (CTCAE v5.0)', '3.', '6.3.3', 'Changed from:', 'Death due to progressive disease should be reported as Grade 5 ""Neoplasms benign,', 'malignant and unspecified (incl cysts and polyps) - Other (Progressive Disease)"" under', 'the system organ class (SOC) of the same name. Evidence that the death was a', 'manifestation of underlying disease (e.g., radiological changes suggesting tumor growth or', 'progression: clinical deterioration associated with a disease process) should be submitted.', 'Changed to:', 'Death due to progressive disease should be reported as Grade 5 ""General disorders and', 'administration site conditions - Disease Progression"". Evidence that the death was', 'a', 'manifestation of underlying disease (e.g., radiological changes suggesting tumor growth or', 'progression: clinical deterioration associated with a disease process) should be submitted.', '4.', '6.3.4', 'Changed from:', 'Pregnancy reporting and outcomes will be documented by completion of the appropriate', 'CRFs, including the Adverse Event form.', 'Changed to:', 'Pregnancy reporting and outcomes will be documented by completion of the appropriate', 'CRFs, including the Adverse Event form, using the appropriate term in the system organ', 'class (SOC) for Pregnancy, puerperium and perinatal conditions.', 'AMC-S007 (Version 2.0) 20MAR2018', 'i', 'NCI Version Date 20MAR2018']"
1,page_2,"['#', 'Section', 'Comments', '5.', '8.1.5', 'Changed from:', 'Complete blood cell counts with differentials and platelets, and serum liver/renal function', 'analysis. This should include the following: albumin, alkaline phosphatase, total bilirubin,', 'bicarbonate, BUN, calcium, chloride, creatinine, glucose, LDH, phosphorus, potassium,', 'total protein, SGOT [AST], SGPT [ALT], sodium.', 'Changed to:', 'Complete blood cell counts with differentials and platelets, and serum liver/renal function', 'analysis. This should include the following: total and direct bilirubin, creatinine, SGOT', '[AST], SGPT [ALT].', '6.', 'Appendix I', 'Changed from:', ""Instructions: In the event that the participant's condition is deteriorating, laboratory"", 'evaluations should be repeated within 24 hours before initiation of the next cycle of therapy.', 'Footnote a: Albumin, alkaline phosphatase, total bilirubin, bicarbonate, BUN, calcium,', 'chloride, creatinine, glucose, LDH, phosphorus, potassium, total protein, SGOT [AST],', 'SGPT [ALT], sodium.', 'Changed to:', ""Instructions: If the participant's condition is deteriorating, laboratory evaluations should be"", 'repeated within 24 hours before initiation of the next cycle of therapy.', 'Footnote a: Total and direct bilirubin, creatinine, SGOT [AST], SGPT [ALT].', 'AMC-S007 (Version 2.0) 20MAR2018', 'ii', 'NCI Version Date 20MAR2018']"
2,page_3,"['AMC', 'AIDS Malignancy', 'Consortium', 'AIDS MALIGNANCY CONSORTIUM', 'AMC PROTOCOL #S007:', 'Longitudinal Quality of Life Study Among Participants with', 'AIDS-Associated Kaposi Sarcoma at Bugando Medical Centre, in', 'Mwanza, Tanzania', 'A Trial of the AIDS Malignancy Consortium (AMC)', 'Sponsored by:', 'National Cancer Institute', 'Office of HIV and AIDS Malignancy (OHAM)', 'NCT Registration Number:', 'TBD', 'Regulatory Status:', 'Subject to Review by the BMC/CUHAS Research Ethics', 'Committee and the Tanzanian National Institute for', 'Medical Research (NIMR)', 'Commercially Available', 'Bleomycin (NSC 125066)', 'Agents:', 'Vincristine sulfate (NSC 67574)', 'Protocol Chair:', 'Kristin Schroeder, MD, MPH', 'Protocol Co-Chair:', 'Nestory Masalu, MD, MMed', 'Version 2.0', '20 March 2018', 'NCI Version 20 March 2018', 'AMC-S007 (Version 2.0) 20MAR2018', '1', 'NCI Version Date 20MAR2018']"
3,page_4,"['AMC PROTOCOL SIGNATURE PAGE', 'I, Nestory Masalu, Principal Investigator at site Bugando Medical Centre agree to conduct and', 'follow this protocol: AMC Protocol #S007 - Longitudinal Quality of Life Study Among', 'Participants with AIDS-Associated Kaposi Sarcoma at Bugando Medical Centre, in', 'Mwanza, Tanzania (Version 2.0, 20MAR2018), as written according to AMC, NCI, and', 'National Institute for Medical Research (NIMR) guidelines. I understand that no deviations from', 'the protocol eligibility criteria or waivers for protocol deviations will be permitted.', 'Signature', 'Date (dd/mmm/yyyy)', 'AMC-S007 (Version 2.0) 20MAR2018', '2', 'NCI Version Date 20MAR2018']"
4,page_5,"['TABLE OF CONTENTS', 'SUMMARY OF CHANGES', 'i', 'AMC PROTOCOL SIGNATURE PAGE', '2', 'TABLE OF CONTENTS', '3', 'LIST OF TABLES AND FIGURES', '5', 'PROTOCOL ROSTER', '6', 'PROTOCOL SYNOPSIS', '7', 'PROTOCOL SCHEMA', '8', 'ABBREVIATIONS LIST', '9', '1.0', 'OBJECTIVES', '11', '1.1', 'Primary Objective', '11', '1.2', 'Secondary Objective', '11', '1.3', 'Exploratory Objective', '11', '2.0', 'BACKGROUND', '12', '2.1', 'Study Disease', '12', '2.2', 'Treatment Regimen', '12', '2.3', 'Study Design and Rationale', '12', '3.0', 'PARTICIPANT SELECTION', '14', '3.1', 'Eligibility Criteria', '14', '3.2', 'Exclusion Criteria', '15', '3.3', 'Number of Participants to be Enrolled', '16', '3.4', 'Participant Enrollment Procedures', '16', '4.0', 'TREATMENT PLAN', '17', '4.1', 'Treatment Administration', '17', '4.2', 'Concomitant Medication and Supportive Care Guidelines', '18', '4.3', 'Duration of Therapy', '19', '4.4', 'Duration of Follow Up', '20', '5.0', 'DOSING DELAYS/DOSE MODIFICATIONS', '21', '5.1', 'Dose Modifications for BV', '21', '5.2', 'Dose Modifications for Vincristine', '23', '5.3', 'Dose Modifications for Bleomycin', '24', '6.0', 'ADVERSE EVENTS: LIST AND REPORTING REQUIREMENTS', '26', '6.1', 'Adverse Events and Potential Risks Lists', '26', 'AMC-S007 (Version 2.0) 20MAR2018', '3', 'NCI Version Date 20MAR2018']"
5,page_6,"['6.2', 'Classification of AEs by Severity and Relationship to Treatment', 'Administration', '26', '6.3', 'Expedited Adverse Event Reporting', '28', '6.4', 'Routine Adverse Event Reporting', '29', '6.5', 'Secondary Malignancy', '30', '6.6', 'Second Malignancy', '30', '7.0', 'PHARMACEUTICAL INFORMATION', '31', '7.1', 'Study Product Preparation', '31', '8.0', 'CLINICAL AND LABORATORY EVALUATIONS', '34', '8.1', 'Screening/Baseline Evaluations', '34', '8.2', 'Evaluations during Treatment', '34', '8.3', 'Treatment Discontinuation Evaluations', '35', '8.4', 'Final Evaluations, Off Study', '35', '9.0', 'MEASUREMENT OF EFFECT', '36', '9.1', 'Definition of Response', '36', '10.0', 'STATISTICAL CONSIDERATIONS', '39', '10.1', 'Study Design/Endpoints', '39', '10.2', 'Sample Size/Accrual Rate', '39', '11.0', 'ROLE OF DATA MANAGEMENT', '40', '11.1', 'CRF Instructions', '40', '11.2', 'Data Quality', '40', '11.3', 'Data Monitoring', '40', '12.0', 'ETHICAL AND REGULATORY CONSIDERATIONS', '41', '12.1', 'IRB Approval and Informed Consent', '41', '12.2', 'Changes to the Protocol', '41', '12.3', 'Women and Minorities', '41', '13.0 REFERENCES', '43', 'APPENDIX I: SCHEDULE OF EVALUATIONS', '44', 'APPENDIX II: PERFORMANCE STATUS SCALES', '45', 'APPENDIX III: AMC DATA AND SAFETY MONITORING PLAN', '46', 'APPENDIX IV: FACT-G QUESTIONNAIRE, VERSION 4, ENGLISH AND SWAHILI.49', 'AMC-S007 (Version 2.0) 20MAR2018', '4', 'NCI Version Date 20MAR2018']"
6,page_7,"['LIST OF TABLES AND FIGURES', 'Table 4-A: Treatment Administration', '17', 'Table 5-A: Dose Modifications for BV - Nausea', '21', 'Table 5-B: Dose Modifications for BV - Vomiting', '21', 'Table 5-C: Dose Modifications for BV - Anemia', '22', 'Table 5-D: Dose Modifications for BV - Neutropenia', '22', 'Table 5-E: Dose Modifications for BV - Thrombocytopenia', '23', 'Table 5-F: Dose Modifications for Vincristine - Peripheral Neuropathy', '23', 'Table 5-G: Dose Modifications for Vincristine - Constipation or Ileus', '24', 'Table 5-H: Elevated Total Bilirubin', '24', 'Table 5-I: Dose Modifications for Bleomycin - Pulmonary Toxicity', '25', 'Table 5-J: Dose Modifications for Bleomycin - Renal Insufficiency', '25', 'Table 6-A: Adverse Event List for Vincristine', '26', 'Table 6-B: Adverse Event List for Bleomycin', '26', 'Table 6-C: Attribution', '28', 'Table 12-A: Accrual Targets', '42', 'AMC-S007 (Version 2.0) 20MAR2018', '5', 'NCI Version Date 20MAR2018']"
7,page_8,"['PROTOCOL ROSTER', 'AMC Protocol #S007', 'Longitudinal Quality of Life Study Among Participants with AIDS-Associated Kaposi', 'Sarcoma at Bugando Medical Centre, in Mwanza, Tanzania', 'Protocol Chair:', 'Protocol Statistician:', 'Kristin Schroeder MD, MPH', 'Jeannette Y. Lee, PhD', 'AIDS Malignancy Consortium', 'AMC Statistical Center', 'P.O. Box 1370', 'University of Arkansas for Medical Sciences', 'Mwanza, Tanzania', '4301 W. Markham, #781', 'Tel: 255-686-3-86349', 'Little Rock, Arkansas 72205-7199', 'Email: kristin.schroeder@dm.duke.edu', 'Tel: (501)526-6712', 'Fax: (501) 526-6729', 'Email: JYLee@uams.edu', 'Protocol Co-Chair:', 'Data Management/Operations:', 'Nestory Masalu MD, MMed', 'AMC Operations and Data Management', 'Bugando Medical Centre', 'Center', 'P.O. Box 1370', 'The Emmes Corporation', 'Mwanza, Tanzania', '401 N. Washington Street, Suite 700', 'Tel: 255-783-0-00004', 'Rockville, MD 20850', 'Email: nmasaslu4@gmail.com', 'Tel: (301)251-1161', 'Fax: (240) 238-2842', 'Email: amipm@emmes.com', 'AMC Kaposi Sarcoma Working Group', 'Chair:', 'Lee Ratner, MD, PhD', 'Washington University School of Medicine', 'Division of Oncology', '660 S. Euclid Avenue', 'Campus Box 8069', 'St. Louis, MO 63110', 'Tel: 314-362-8836', 'Fax: 314-747-2120', 'Email: lratner@dom.wustl.edu', 'AMC-S007 (Version 2.0) 20MAR2018', '6', 'NCI Version Date 20MAR2018']"
8,page_9,"['PROTOCOL SYNOPSIS', 'TITLE:', 'Longitudinal Quality of Life Study Among Participants with', 'AIDS-Associated Kaposi Sarcoma at Bugando Medical Centre,', 'in Mwanza, Tanzania', 'PHASE OF STUDY:', 'Pilot', 'PARTICIPATING', 'This protocol will be open at the Bugando Medical Centre in', 'INSTITUTIONS:', 'Mwanza, Tanzania', 'ACCRUAL TARGET:', 'Minimum: 12, Maximum: 20', 'POPULATION:', 'Participants with KS who are HIV-positive initiating', 'chemotherapy with bleomycin and vincristine sulfate (BV). See', 'Section 3.0 for eligibility criteria.', 'REGIMEN:', 'Participants will receive standard therapy for KS: bleomycin (15', 'units/m²) and vincristine (2mg fixed dose) infused intravenously', 'every 21 days for a maximum of six cycles. A Quality of Life', '(QOL) survey, the Functional Assessment of Cancer Therapy-', 'General (FACT-G), will be administered at baseline, after 3 and', '6 cycles of treatment (cycle 4 and treatment discontinuation), and', 'at 3 months after treatment discontinuation.', 'DURATION:', '7 months', 'PRIMARY OBJECTIVE:', 'To evaluate the longitudinal quality of life of participants with', 'HIV-associated KS during treatment with vincristine and', 'bleomycin at a single institution in East Africa.', 'SECONDARY', 'To explore baseline and time-dependent correlates of', 'OBJECTIVE:', 'improvements in quality of life.', 'EXPLORATORY', 'To assess quality control (completeness and accuracy) in data', 'OBJECTIVE:', 'capture of adverse events, clinical benefit, and objective response', 'for site evaluation and training purposes.', 'AMC-S007 (Version 2.0) 20MAR2018', '7', 'NCI Version Date 20MAR2018']"
9,page_10,"['PROTOCOL SCHEMA', 'Figure 1. Proposed study procedure and timeline', '3 months off', 'Timeline', 'Pre Tx', 'Post 3 cycles of', 'End of', 'therapy', 'Evaluation', 'BV', 'therapy', 'Proposed', 'Safety', 'FACT-G QoL', 'FACT-G QoL FACT-G QoL', 'studies', 'Laboratory1,2', 'Echo', 'AE evaluation²', 'KS response', 'evaluation²', 'CD4 count', 'FACT-G QoL', '1.', 'Laboratory studies to include CBC, total bilirubin, SGOT [AST], , Creatinine,', '2. To be evaluated prior to each treatment cycle', 'AMC-S007 (Version 2.0) 20MAR2018', '8', 'NCI Version Date 20MAR2018']"
