,,,,,,,Timeframe,,,,,,,,Timeframe,,,,,,,,,,,,,,,,
1,Assessment/Measure,No. Questions,Screening,Baseline,Complete Online course,One month after Online course,6 months after Online course,12 months after Online course,2.5 years after Online course,,,,,,Assessment/Measure,No. Questions,Screening,Baseline,Complete Online course,One month after Online course,6 months after Online course,12 months after Online course,2.5 years after Online course,,,,,,,,
2,Informed consent,1,,SELECTED X,,,,,,,,,,,Informed consent,1,,,,SELECTED X,,,,,,,,,,,
3,Age,1,SELECTED X,SELECTED X,,,,,,,,,,,Age,1,SELECTED X,SELECTED X,,,,,,,,,,,,,
4,MS type diagnosed,2,SELECTED X,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,MS type diagnosed,2,SELECTED X,SELECTED X,,,,SELECTED X,SELECTED X,SELECTED X,,,,,,,
5,MS duration,2,SELECTED X,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,MS duration,2,SELECTED X,SELECTED X,,,,SELECTED X,SELECTED X,SELECTED X,,,,,,,
6,Do you follow a MS-specific lifestyle program?,2,SELECTED X,SELECTED X,,,SELECTED X,SELECTED X,SELECTED  X,,,,,,Do you follow a MS-specific lifestyle program?,2,SELECTED X,SELECTED X,,,,SELECTED X,SELECTED X,SELECTED  X,,,,,,,
7,Do you follow a MS-specific diet,2,SELECTED X,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,Do you follow a MS-specific diet,2,SELECTED X,SELECTED X,,,,SELECTED X,SELECTED X,SELECTED X,,,,,,,
8,Sex and gender,2,,SELECTED X,,,,,,,,,,,Sex and gender,2,,,,,,,,SELECTED X,,,,,,,
9,Residential address and country,1,,SELECTED X,,,,,SELECTED X,,,,,,Residential address and country,1,,,,,,,,,SELECTED X,,,,,,
10,Country of birth,1,,SELECTED X,,,,,,,,,,,Country of birth,1,,,,,,,,,,,,,,,
11,Height/weight,2,,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,Height/weight,2,,,,,,,,,,,,SELECTED X,,,
12,Comorbidities,2,,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,Comorbidities,2,,,,,,,,,,,,SELECTED X,,,
13,Marital status,1,,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,Marital status,1,,,,,,,,,,,,SELECTED X,,,
14,Education,1,,SELECTED X,,,,,,,,,,,Education,1,,,,,,,,,,,        ,,,,
15,Employment status,1,,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,Employment status,1,,,,,,,,,,,,SELECTED X,,,
16,Alcohol and smoking,4,,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,Alcohol and smoking,4,,,,,,,,,,,,SELECTED X,,,
17,Medications,4,,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,Medications,4,,,,,,,,,,,,SELECTED X,,,
18,Perceived Social Support,12,,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,Perceived Social Support,12,,,,,,,,,,,,SELECTED X,,,
19,Lifestyle factors,,,,,,,,,,,,,,Lifestyle factors,,,,,,,,,,,,,,,,
20,Physical activity: IPAQ-SF,7,,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,Physical activity: IPAQ-SF,7,,,,,,,,,,SELECTED X,,,,,
21,Meditation: MAQ,3,,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,Meditation: MAQ,3,,,,,,,,,,SELECTED X,SELECTED X,SELECTED X,,,
22,Sun exposure,4,,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,Sun exposure,4,,,,,,,,,,SELECTED X,SELECTED X,SELECTED X,,,
23,Diet quality: DHQ,21,,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,Diet quality: DHQ,21,,,,,,,,,,SELECTED X,SELECTED X,SELECTED X,,,
24,"Omega-3 intake: dose, frequency",3,,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,"Omega-3 intake: dose, frequency",3,,,,,,,,,,SELECTED X,SELECTED X,SELECTED X,,,
25,"Vitamin D intake: dose, frequency",3,SELECTED  X,,,SELECTED  X,SELECTED X,SELECTED X,SELECTED X,,,,,,"Vitamin D intake: dose, frequency",3,SELECTED X,,,,,,,,,,SELECTED X,SELECTED X,SELECTED X,,
26,Health outcomes,,,,,,,,,,,,,,Health outcomes,,,,,,,,,,,,,,,,
27,HRQOL: MSQOL-54,54,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,,HRQOL: MSQOL-54,54,SELECTED X,,,,,,,,,,,,SELECTED X,,
28,Disability: PDDS,1,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,,Disability: PDDS,1,SELECTED X,,,,,,,,,,,,SELECTED X,,
29,Anxiety and depression: HADS,14,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,,Anxiety and depression: HADS,14,SELECTED X,,,,,,,,,,,,SELECTED X,,
30,Fatigue: FSS,9,SELECTED X,,,SELECTED  X,SELECTED X,SELECTED  X,,,,,,,Fatigue: FSS,9,SELECTED X,,,,,,,,,,,,,,SELECTED X
31,Self-efficacy: UWSE-6,6,SELECTED X,,,SELECTED X,SELECTED X,SELECTED X,,,,,,,Self-efficacy: UWSE-6,6,SELECTED X,,,,,,,,,,,,SELECTED X,,
32,Qualitative interviewing,-7,,SELECTED X,,,SELECTED X,,,,,,,,Qualitative interviewing,-7,SELECTED X,,,,,,,,,,SELECTED X,,,,
33,If clinically significant improvement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,in HRQOL subset scores in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Intervention group from baseline,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,we will consider an amendment to the RCT to provide participants in the standard-care access to the intervention course,,,,,,SELECTED X,,,,,,,,,,,,,,,,,,,,,,,,
37,"If no clinically significant improvement in HRQOL subset scores in Intervention group from baseline, the RCT will not be amended",,,,,,SELECTED X,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
