short_name,long_name
QSU,Questionnaire on Smoking Urge
USS PROM,Urethral stricture surgery patient-reported outcome measure
NePIQoL,Neuropathic Pain Impact on Quality-of-Life Questionnaire
C-SSRS,Columbia-Suicide Severity Rating Scale
SDS,Sheehan Disability Scale
AF-QOL18,Quality of Life questionnaire for Patients with Atrial Fibrillation
HDQoL©,Huntington's Disease health-related Quality of Life questionnaire
MOOD,Measure of Outcome in Ocular Disease
LLFI,Lower Limb Functional Index
SAPS,Short Assessment of Patient Satisfaction
Barthel Index,Barthel Index
Borg CR10 Scale®,Borg Dyspnea Scale
LupusPRO,Lupus Patient-Reported Outcome tool
EORTC QLQ-HCC18,EORTC Quality of Life Questionnaire - Hepatocellular Carcinoma / Primary...
EORTC QLQ-PR25,EORTC Quality of Life Questionnaire - Prostate Cancer Module
ACCEPT,Chronic Treatment Acceptance Questionnaire
EORTC QLQ-BN20,EORTC Quality of Life Questionnaire - Brain Cancer Module
QBPDS,Quebec Back Pain Disability Scale
MOS Sleep,Medical Outcomes Study Sleep scale
DFS-SF,Diabetic Foot Ulcer Scale - Short Form
EORTC QLQ-MY20,EORTC Quality of Life Questionnaire - Multiple Myeloma Module
MFSAF,Myelofibrosis Symptom Assessment Form
FACT-L,Functional Assessment of Cancer Therapy - Lung Cancer
FACIT,Functional Assessment of Chronic Illness Therapy Measurement System
A-IADL-Q,Amsterdam Instrumental Activity of Daily Living Questionnaire
QuickDASH-9,"9-item version of the DASH (Disabilities of the Arm, Shoulder, and Hand)"
SEP,Sexual Encounter Profile
Skindex-Teen,Skindex-Teen
AOM-SOS,Acute Otitis Media Severity Of Symptom Scale
PU-QOL,Pressure Ulcer Quality of Life
ACTS,Anti-Clot Treatment Scale
VAPI,Vaccinees' Perception of Injection
FACT-Hep,Functional Assessment of Cancer Therapy - Hepatobiliary Cancer
CDAI,Crohn's Disease Activity Index
GRID-HAMD,GRID Hamilton Depression Rating Scale
PEESS v2.0,"Pediatric Eosinophilic Esophagitis Symptom Severity Module, version 2.0"
PD-SAST,Parkinson's Disease Sexual Addiction Screening Test
SAES,Scale of Anxiety Evaluation in Schizophrenia
PDS,Progressive Deterioration Scale
EORTC QLQ-BM22,EORTC Quality of Life Questionnaire - Bone Metastases Module
SPACE-Q,Satisfaction of PAtients with Crohn's diseasE
SF-MPQ,McGill Pain Questionnaire Short Form
MusiQoL,Multiple Sclerosis International Quality of Life questionnaire
CFQ-R,Cystic Fibrosis Questionnaire-Revised
SOS,Service to Others in Sobriety
FACT-P,Functional Assessment of Cancer Therapy - Prostate Cancer
FACIT-F,Functional Assessment of Chronic Illness Therapy - Fatigue
LASA or CLAS,Linear Analogue Self-Assessment or Cancer Linear Analog Scale
ADCS-ADL-Severe,Alzheimer's Disease Cooperative Study Activities of Daily Living Invento...
