,Name,Screening, ,Treatment,phase,End of Study, ,Long-term,follow-uph, ,Record Review
1, ,Day -30 to -1,Day 1 (+7 days),Day 30 (+7 days),Day 60 (+7 days),Day 91 (+7 days),Day 180 (+30 days),Day 365 (+30 days),Day 545 (+30 days),Day 730 (+30 days),"Year 3, 4, 5 (+90 days)"
2,Informed Consent,SELECTED x,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
3,History and Physicala,SELECTED x,SELECTED x,SELECTED x,SELECTED x,SELECTED x,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
4,Adverse Event Assessment,NOT_SELECTED,SELECTED x,SELECTED x,SELECTED x,SELECTED x,SELECTED x,SELECTED x,SELECTED x,SELECTED x,NOT_SELECTED
5,Study drug dispensation,NOT_SELECTED,SELECTED x,SELECTED x,SELECTED x,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
6,Unused study drug collection,NOT_SELECTED,NOT_SELECTED,SELECTED x,SELECTED x,SELECTED x,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
7,CBCb,SELECTED x,SELECTED x,SELECTED x,SELECTED x,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
8,CMPb,SELECTED x,SELECTED x,SELECTED,SELECTED x,SELECTED x,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
9,EKG,SELECTED x,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
10,Serum PSA,SELECTED x,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED x,SELECTED x,SELECTED x,SELECTED,SELECTED x,NOT_SELECTED
11,Testosterone,SELECTED x,SELECTED x,SELECTED x,SELECTED x,SELECTED x,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
12,LH plasma levelb,NOT_SELECTED,SELECTED x,SELECTED x,SELECTED x,SELECTED x,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
13,TSHC,SELECTED x,NOT_SELECTED,SELECTED x,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
14,Exploratory biomarkersd,NOT_SELECTED,SELECTED x,SELECTED,NOT_SELECTED,SELECTED x,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
15,Quality of life questionnaires,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED x,SELECTED x,SELECTED x,SELECTED,NOT_SELECTED
16,Systematic 12-core biopsy,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED x,NOT_SELECTED,SELECTED,NOT_SELECTED
17,Site directed biopsy (3-cores per site),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
18,Medical Record Review,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED x
