,,Screening,,Placebo-Controlled,Phase,,,Apremilast,Extension,Phaseb,Post-Treatment Observational Follow-upd
1,Visit Number,1,Baseline 2,3,4,5,6,7,8,9/ET°,
2,Week,-35 to 0 days,0 (Day 1),2 ( 3 days),4 ( 3 days),16 ( 3 days),20 (= 4 days),32 ( 4 days),44 ( 4 days),52 (= 4 days),56 weeks (or 4 weeks after study discontinuation)
3,Informed consente,SELECTED X,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,-
4,Inclusion/Exclusion criteria,SELECTED X,SELECTED X,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,-
5,Demographics,SELECTED X,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,NOT_SELECTED -,NOT_SELECTED -,-
6,Medical history,SELECTED X,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,NOT_SELECTED -,-
7,Prior / concomitant medications or therapies,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -
8,Clinical and Laboratory,Assessments,,,,,,,,,NOT_SELECTED
9,Adverse events,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
10,Pregnancy test and contraception education,SELECTED X,SELECTED X,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,SELECTED X,NOT_SELECTED -
11,Vital signs,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -
12,Height,SELECTED X,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,NOT_SELECTED -,NOT_SELECTED -
13,Weight,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -
14,Waist Circumference,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,-
15,Body Mass Index,SELECTED X,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,NOT_SELECTED -,-
16,Physical Examination,SELECTED X,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,NOT_SELECTED -,-
17,"Clinical laboratory evaluations-h,",SELECTED X,SELECTED X,NOT_SELECTED -,NOT_SELECTED -,SELECTED X,NOT_SELECTED -,SELECTED X,NOT_SELECTED -,SELECTED X,-
18,Week,-35 to 0 days,0 (Day 1),2 (3 days),4 ( 3 days),16 (=3 days),20 ( 4 days),32 ( 4 days),44 ( 4 days),52 ( 4 days),56 (or 4 weeks after study discontinuation)
19,Health-related Quality of,Life and,Efficacy Assessments,,,,,,,,
20,DLQI,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,-
21,sPGA of Visible Location,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -,SELECTED X,-
22,ScPGAk,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -,SELECTED X,-
